id	Ta	TaTa	TaTaTa	TaTaTi	TaTaTigitigi	TaTaTimgi	TaTaTimgiri	TaTaTiti	TaTaTriole	TaTao	TaTi	TaTim	TaTimgiTa	TaTimgiTimgi	TaTimgiTiti	TaTiti	TaTitiTa	TaTitiTiti	TaTitigiTigitigi	TaTrioleTa	Tai	Taiti	TaitiTa	TaitiTiti	Tao	TaoTa	TaoTigitigi	TaoTimgi	TaoTiti	TaoTriole	Taoa	TigimTi	TigimTitiTiti	TigimgiTim	Tigitigi	TigitigiTa	TigitigiTaTa	TigitigiTi	TigitigiTigitigi	TigitigiTigitigiTigitigi	TigitigiTiti	TigitigiTitiTiti	Timgi	TimgiTa	TimgiTaTa	TimgiTaTigitigi	TimgiTaTimgi	TimgiTaTiti	TimgiTimgiTimgi	TimgiTiti	TimgiTitiTiti	TimgiriTa	Titi	TitiTa	TitiTaTa	TitiTaTimgi	TitiTaTiti	TitiTi	TitiTiti	TitiTitiTa	TitiTitiTigitigi	TitiTitiTimgi	TitiTitiTiti	TitiTitiTitigi	TitiTitigiTigitigi	TitigiTa	TitigiTi	TitigiTigitigi	TitigiTiti	TitigiTitiTigitigi	TitigiTitiTiti	TitigiTitiTitigi	TitigiTitigi	TitigiTitigiTitigi	TrioleTa	TrioleTaTa	no
19		0.0625	0.25				0.3125																														0.0625							0.0625	0.0625			0.0625				0.0625											0.1875														
20		0.0625						0.0625																					0.0625																							0.0625					0.0625				0.125		0.3125														
21		0.0625	0.1875			0.1875		0.0625																																				0.0625					0.125																												
22		0.0625																																																				0.0625			0.8125						0.0625														
23		0.0625	0.25			0.0625													0.5625																	0.0625													0.1875															0.0625													
24		0.0625																																														0.0625			0.6875			0.0625																	0.0625						
25		0.0625	0.1875			0.5625																																						0.0625			0.0625																0.0625	0.0625													
26		0.0625			0.0625																															0.0625										0.3125		0.0625			0.0625														0.125					0.25							
27		0.0625	0.3125		0.1875	0.125																																		0.1875				0.0625																																	
28		0.0625					0.0625																																	0.75												0.0625																									
29		0.0625	0.25		0.25																															0.0625	0.0625																																								
30		0.0625																																								0.125												0.0625									0.5625								0.1875						
31		0.0625				0.25																																						0.0625																			0.25		0.125												
32		0.0625			0.0625																															0.0625																											0.375		0.125							0.0625					
33		0.0625	0.25		0.1875			0.0625											0.0625																	0.0625									0.0625	0.0625		0.0625															0.0625														
34		0.0625																																						0.875				0.0625																																	
35		0.0625	0.1875			0.125		0.25					0.0625																															0.0625											0.0625																						
36		0.0625		0.3125	0.0625																															0.0625	0.0625																								0.0625																
37		0.0625	0.1875		0.25																			0.1875												0.0625									0.125	0.0625																															
38		0.0625																																										0.0625																			0.25	0.5625								0.0625					
39		0.0625	0.3125																0.5																	0.0625									0.0625																																
40		0.0625																																						0.3125												0.0625											0.5														
41		0.0625	0.25	0.125	0.125	0.0625													0.0625																	0.0625				0.125																							0.125														
42		0.0625																																																				0.0625									0.5								0.375						
43		0.0625																																																		0.0625											0.5625														
44		0.0625	0.125				0.375											0.0625																		0.0625																											0.3125														
45																																																															0.3125	0.3125	0.125	0.0625						0.125					
46			0.0625			0.125																																									0.0625							0.0625		0.0625							0.3125	0.25		0.0625											
47		0.0625	0.125														0.0625											0.0625																0.0625											0.5								0.375														
48		0.125	0.5																							0.3125					0.3125																													0.625			0.125														
49		0.125	0.1875														0.4375									0.1875																																					1.3125														
50	0.0625		0.375																						0.125				0.5																																		0.6875														
51		0.125	0.5																							0.0625			0.4375																															0.125			0.75														
52			0.25															0.1875							0.125																																						1.6875														
53		0.125	0.0625										0.0625				0.1875									0.375																																					0.6875														
54		0.125	0.125																																																				0.125					0.5625			0.5625														
55	0.0625		0.5														0.125	0.1875								0.125																	0.0625																	0.0625			0.125														
56	0.0625		0.4375															0.0625								0.375		0.3125			0.125												0.0625																				0.8125														
57		0.0625	0.625														0.0625												0.25															0.0625																0.0625			0.375														
58		0.0625	0.1875					0.25									0.0625														0.125																							0.0625									0.5														
59			2.875																						0.125																																																				
60	0.0625																																																														1.4375														
61			1.125	0.125				0.375																	0.0625				0.25																								0.0625																								
62			0.75														0.4375	0.25																																													0.0625														
63			2.0					0.125									0.5							0.0625	0.0625				0.1875																								0.0625																								
64		0.0625																0.125						0.1875																															0.625																						
65		0.125															0.0625																																											0.25			0.5625														
66																		0.125							0.0625																				0.75			0.4375			0.625																										
67			0.8125						0.0625								0.5									0.0625					0.0625																																														
68		0.0625																																																										0.0625			0.875														
69			0.25																						0.0625	0.125																											0.0625							0.125			0.875														
70			0.4375					0.0625																		0.4375					0.0625																																														
71		0.125	1.0625																							0.1875					0.125																																														
72		0.0625	0.0625					0.0625	1.0									0.25												0.375																														0.0625			0.0625														
73		0.125																																																										0.6875			0.1875														
74		0.1875	0.5					0.0625																																															0.625					0.125																	
75		0.125	0.1875															0.0625																																													0.0625													0.5625	
76		0.125	0.1875			0.25		0.3125	0.125																																																																				
77		0.0625	0.1875														0.0625																																											0.25			0.125													0.3125	
78		0.0625				0.125																																																0.0625																							
79		0.0625											0.5625	0.3125																														0.0625																																	
80		0.0625					0.0625																																													0.0625											0.75														
81											0.0625		0.6875		0.125																	0.0625																	0.0625																												
82			0.25																																																												0.25													0.5	
83			0.4375					0.0625																																																				0.25			0.25														
84		0.0625	0.0625						0.375																					0.0625																			0.25																										0.0625		
85		0.125															0.125	0.25																																													0.5														
86		0.125																0.125																																										0.4375			0.3125														
87		0.125	0.375					0.125									0.125	0.25																																																											
88		0.0625	0.25					0.25										0.25																																							0.1875																				
89		0.125						0.5																																																							0.375														
90	0.0625	0.6875														0.0625									0.0625																																		0.125																		
91	0.0625	0.0625																							0.0625																																		0.8125																		
92	0.0625	0.375														0.3125																																											0.1875																		
93	0.125	0.0625														0.125									0.0625																																		0.625																		
94	0.125	0.125														0.1875									0.0625																																		0.5																		
95	0.125	0.3125									0.0625					0.0625																																											0.4375																		
96																																																																			0.0625	0.0625									
97																																									0.375													0.0625													0.0625										
98																																						0.0625			0.375																											0.0625									
99	0.125		1.0																																																												0.375														
100			0.1875																				0.75		0.125	0.4375																																																			
101			0.0625																		0.0625					0.0625																																0.0625		0.4375			0.3125														
102						0.875																			0.0625			0.125															0.0625																				0.375														
103	0.0625		0.5										0.4375				0.0625	0.5																																																											
104		0.0625	0.875														0.125									0.0625		0.0625																0.0625																			0.25														
105	0.0625		1.5														0.875								0.0625																																																				
106		0.125	0.9375					0.25																																																							0.1875														
107			0.125														0.5	0.125								0.375																												0.125									1.5														
108	0.125		2.5625																							0.0625																																																			
109			0.625																						0.0625	0.375			0.125																								0.0625										0.75														
110				1.25																					0.125						0.125																																														
111			1.125																						0.0625																												0.0625							0.0625			0.1875														
112	0.0625		0.9375														0.375								0.0625																																						0.0625														
113		0.125	0.4375				0.5											0.125																																										0.0625			0.0625														
114																																																											0.125				1.3125														
115	0.125		0.875					0.375										0.125																																					0.5																						
116			0.1875																						0.125	0.375			0.25																																		0.0625														
117		0.125	0.75															0.0625							0.0625	0.375																																					1.0														
118								0.125																	0.0625				0.0625																								0.0625										1.1875														
119	0.125																									0.25																																					1.125														
120	0.125		0.8125																							0.0625																																					0.75														
121			0.75														0.375	0.125							0.0625																		0.0625												0.0625																						
122			0.6875																																																									0.25			0.0625														
123			0.1875														0.1875	0.1875							0.125	0.0625																													0.375		0.375																				
124			0.5625																						0.0625	0.0625																																					0.3125														
125								0.0625																	0.0625																												0.0625		0.125		0.5						0.1875														
126																	0.375	0.3125							0.0625																		0.0625																				0.1875														
127																															0.125																																0.875														
128	0.0625		0.5											0.25																																																	0.5														
129	0.0625		0.875																						0.0625																																																				
130								0.0625										0.0625							0.0625																												0.0625				0.125			0.25			0.875														
131																																							0.5		0.5																																				
132	0.0625	0.1875																				0.0625																																					0.6875																		
133		0.5625														0.375																																											0.0625																		
134		0.4375																																																																											
135		0.0625																																																									0.9375																		
136		0.1875																																																									0.8125																		
137		0.125																																																																									0.8125		
138		0.125									0.3125																																																0.5625																		
139	0.0625	0.1875														0.0625																																											0.6875																		
140		0.5																							0.125																													0.375																							
141		0.375									0.0625														0.1875																																		0.375																		
142		0.375																							0.1875																																		0.4375																		
143	0.125		1.25																							0.4375					0.4375																																														
144	0.0625		2.125														0.625	0.0625																																													0.25														
145		0.0625	0.3125						0.5625											0.0625										0.0625	0.125														0.125																		0.0625												0.0625		
146			0.0625																																																		0.0625	0.125						0.0625			1.25														
147						0.25																			0.0625			0.0625															0.0625																				0.375	0.625													
148		0.0625	0.5625														0.25	0.3125							0.0625																																						0.75														
149			0.25														0.625	0.1875							0.0625	0.1875																																					0.1875														
150			0.5625															0.25							0.0625																												0.0625										0.0625														
151											0.0625																																															0.0625					0.875														
152			0.25														0.125								0.0625																												0.0625										0.5														
153			0.3125					0.0625									0.375	0.0625							0.125																																						0.0625														
154		0.125	0.5					0.0625									0.3125																																																												
155		0.125	0.3125														0.125	0.4375																																																											
156		0.125	0.375														0.1875	0.125																																										0.0625			0.125														
157		0.125																																																													0.875														
158			0.25					0.25			0.0625							0.3125																																					0.0625			0.0625																			
159		0.125	0.3125					0.0625										0.0625																																										0.0625			0.375														
160		0.0625																																																				0.0625									0.875														
161		0.125	0.1875														0.3125																																											0.25			0.125														
162		0.125	0.75					0.125																																																																					
163																									0.0625																																						1.4375														
164			0.375					0.125									0.0625	0.3125							0.125																																																				
165			0.25					0.0625										0.125							0.125																														0.375								0.0625														
166		0.0625						0.0625		0.25							0.25																																					0.0625						0.1875			0.125														
167			0.1875														0.4375	0.25							0.0625																													0.0625																							
168								0.25									0.375	0.1875							0.0625																												0.0625										0.0625														
169																	0.625	0.125							0.125																																			0.125																	
170			0.25																						0.125																																			0.25			0.375														
171		0.0625																																																				0.0625						0.5625			0.3125														
172		0.0625	0.0625														0.3125																																											0.5625																	
173			0.0625																																																									0.4375			0.5														
174			0.125																						0.125																																			0.75																	
175			0.3125																						0.125																																			0.4375			0.125														
176		0.125															0.5	0.375																																																											
177	0.125		0.125														0.25			0.5																																																									
178			0.125														0.75	0.125			0.0625		0.25	0.125																																		0.0625																			
179		0.0625	0.5					0.1875																																																							0.25														
180	0.0625		0.3125														0.125								0.0625																																			0.375			0.1875														
181		0.125						0.0625									0.6875	0.375																																										0.25																	
182		0.0625	0.4375															0.25																																					1.125		0.125																				
183			0.375																																																						0.1875			0.5625																	
184			0.375															0.0625																																													0.5625														
185			0.1875																				0.3125			0.375					0.125																																														
186		0.0625	0.125															0.75																																													0.0625														
187			0.1875														0.1875	0.3125					0.125	0.0625							0.125																																														
188																							0.1875		0.125	0.6875																																																			
189			0.125					0.125																	0.0625																												0.0625										0.625														
190			0.625																						0.125																																						0.25														
191		0.0625	0.125							0.25							0.25								0.0625	0.0625																																		0.0625			0.625														
192											0.0625							0.1875																																					0.375		0.25	0.0625					0.0625														
193			0.0625																						0.0625																												0.0625										0.8125														
194		0.125	0.3125														0.25	0.25								0.0625																																																			
195			0.125														0.125	0.1875							0.0625	0.0625					0.0625																													0.375																	
196		0.0625	0.3125														1.0625																																														0.0625														
197			0.3125																												0.125																								0.1875								0.375														
198			0.125															0.0625			0.0625																																					0.0625		0.6875																	
199		0.0625				0.875																																																																							
200																									0.0625				0.0625																								0.0625							0.125			0.6875														
201																									0.125																																			0.125			0.75														
202			0.3125					0.0625																	0.125																																			0.125			0.375														
203																									0.125																																						0.875														
204																									0.0625																												0.0625				0.0625						0.8125														
205																									0.125																																0.1875			0.25			0.4375														
206								0.1875									0.1875	0.0625							0.0625																												0.0625										0.4375														
207																									0.125																																						0.875														
208			0.125														0.1875	0.0625							0.0625				0.125																								0.0625				0.125						0.25														
209			0.3125																						0.125																																			0.4375			0.125														
210		0.0625	0.25					0.0625																	0.0625																														0.3125					0.0625			0.1875														
211			0.375																0.1875						0.125																				0.1875																																
212		0.0625																																										0.0625																			0.875	0.0625							0.1875						
213	0.0625					0.25													0.25																								0.0625						0.0625							0.0625							0.125														
214		0.125	0.1875																																							0.25													0.0625								0.0625								0.25						
215		0.0625																																																				0.0625									0.25	0.0625	0.0625						0.5						
216		0.0625																																		0.0625						0.0625				0.0625					0.125																							0.1875			
217		0.0625	0.1875																0.1875																																											0.0625	0.125		0.0625						0.1875						
218			1.0					0.125										0.0625							0.0625				0.125																								0.0625										0.0625														
219			0.375					0.125										0.125							0.0625																												0.0625										0.25														
220			0.6875					0.0625									0.125								0.0625																												0.0625																								
221			0.375															0.5							0.125																																																				
222			0.1875														0.4375								0.125																																						0.25														
223			0.6875																						0.0625	0.125																																		0.5			0.125														
224								0.1875	0.25																0.125					0.0625																														0.0625			0.3125														
225			0.375					0.125													0.0625			0.0625																																		0.0625					0.25														
226			0.375			0.125				0.1875															0.0625				0.0625														0.0625												0.0625								0.0625														
227			0.3125														0.3125								0.125																																			0.0625			0.1875														
228			0.5										0.1875												0.0625																		0.0625																	0.125			0.0625														
229	0.125		1.125					0.125									0.5								0.25			0.8125			0.0625												0.1875										0.0625	0.0625									1.625	0.375													
230	0.0625	0.25																							0.0625																													0.3125					0.3125																		
231	0.0625	0.5																							0.25																																		0.1875																		
232																																																											1.0																		
233	0.125	0.375																																																									0.5																		
234	0.0625	0.375																							0.0625																																		0.5																		
235	0.0625										0.125														0.0625																													0.125					0.5																		
236	0.125	0.0625														0.3125									0.0625																																		0.4375																		
237	0.125	0.3125														0.0625									0.0625																													0.3125					0.125																		
238	0.125	0.5																							0.0625																													0.3125																							
239		0.75														0.1875									0.125																													0.125					0.3125																		
240	0.125																																																										0.875																		
241	0.125																																																										0.875																		
242	0.125	0.125																							0.0625																													0.375					0.3125																		
243			0.125	0.4375														0.75																																													0.1875														
244						0.5																																						0.0625			0.1875									0.125						0.375	0.75														
245		0.0625																																																													0.9375														
246	0.0625	0.0625																																																									0.875																		
247		0.125	0.3125																																																									0.0625			0.5														
248																									0.0625																												0.0625				0.0625			0.25			0.5625														
249			0.375																						0.125																														0.4375								0.0625														
250		0.0625						0.0625									0.25												0.125																								0.0625		0.3125		0.125																				
251		0.0625	0.1875																						0.0625				0.125																										0.0625		0.125						0.0625														
252			0.375															0.125							0.125				0.1875																																		0.1875														
253	0.0625																																																				0.0625										0.875														
254								0.0625																	0.0625																												0.0625										0.8125														
255	0.125	0.0625																																																									0.8125																		
256		0.3125																																																																											
257	0.125																																																										0.875																		
258	0.125	0.25																																																				0.375				0.125	0.125																		
259	0.125										0.125																																																0.75																		
260			1.1875			0.0625		0.375										0.25							0.0625																												0.0625																								
261		0.125	0.125								0.125							1.375																																																											
262			0.375														0.9375								0.125	0.0625																																																			
263																	0.6875								0.125																																			0.0625			0.125														
264			1.3125																						0.125	0.0625																																																			
265		0.125	0.375																						0.0625																																						0.9375														
266																									0.125																																						0.875														
267			1.0625															0.125							0.0625																																						0.25														
268			0.25														0.25	0.4375							0.125																																						0.1875														
269																									0.125																																						1.375														
270																									0.125																																			0.125			0.75														
271		0.0625								0.375							0.5								0.0625																																																				
272		0.0625	0.1875																						0.0625																																			0.625			0.5625														
273		0.125																0.375																																										0.4375			0.0625														
274		0.0625																							0.0625																																			0.75			0.125														
275																									0.0625	0.0625																																					0.875														
276			0.0625																						0.1875	0.125																																		0.625			0.125														
277			0.25															0.125							0.125																																			0.4375			0.0625														
278		0.5														0.25									0.1875																																		0.0625																		
279	0.0625																																																										0.9375																		
280																																									0.0625									0.125									0.1875								0.0625										
281																																																						0.125					0.3125							0.0625		0.0625	0.375								
282																																						0.0625	0.125		0.0625													0.125														0.0625	0.0625								
283																																				0.125																														0.0625		0.0625	0.0625				0.1875				
284																																				0.125			0.125																												0.0625										
285																																						0.125			0.125																		0.0625														0.125				
286																																							0.125															0.0625												0.125			0.0625								
287																																						0.125			0.1875																																				
288																																																						0.125					0.5							0.125											
289																																																						0.0625					0.0625								0.0625		0.1875				0.125				
290								0.1875										0.0625							0.0625																												0.0625										0.5625														
291		0.0625						0.0625										0.0625																																			0.0625							0.0625			0.6875														
292			0.1875					0.1875				0.0625			0.0625		0.0625	0.25																0.0625																													0.125														
293			0.5									0.0625			0.5			0.0625															0.0625	0.0625																													0.25														
294												0.0625			0.1875																			0.0625																													1.1875														
295			0.125									0.0625		0.0625	0.125																			0.0625																													0.5625														
296		0.0625						0.9375																					0.0625																									0.0625									0.375														
297			0.6875								0.0625							0.0625						0.125																																		0.0625																			
298											0.0625							0.0625																																								0.0625					0.8125														
299								0.1875										0.1875			0.0625																																				0.0625	0.0625					0.4375														
300		0.125																																																										0.125			0.75														
301												0.0625																																																			0.875														
302											0.0625							0.25																																								0.0625					0.625														
303			0.625														0.25	0.3125			0.0625					0.0625																													0.125			0.0625																			
304			1.5															0.8125																																																											
305		0.125	0.25																	0.4375													0.0625																													0.0625	0.0625														
306		0.0625	0.5					0.25																																														0.0625									0.625														
307		0.0625	0.0625														0.3125	0.25						0.125																																							0.1875														
308		0.0625	0.625															0.0625								0.0625																																					0.6875														
309		0.125																0.6875																																													0.1875														
310		0.125																0.0625																																													0.8125														
311		0.0625						0.125									0.4375	0.25							0.0625																																						0.0625														
312		0.125	0.3125					0.0625									0.5																																																												
313		0.125	0.0625															1.125																																													0.1875														
314		0.125	0.0625															0.1875																																													0.625														
315		0.0625	0.1875					0.1875									0.0625																																					0.0625									0.4375														
316		0.0625	0.4375					0.1875									0.6875	0.0625																																				0.0625																							
317		0.0625																0.75											0.0625																									0.0625									0.0625														
318		0.0625	0.875					0.375																																														0.0625									0.125														
319		0.0625	0.0625					0.0625									0.6875												0.0625																									0.0625																							
320																																																															1.0625														0.0625
321		0.0625						0.25									0.25	0.125																																				0.0625									0.125														
322		0.0625						0.1875																																														0.0625									0.6875														
323											0.0625						0.25	1.0625																																								0.0625					0.0625														
324		0.0625	0.1875																						0.0625																																			0.5			0.1875														
325		0.0625						0.1875																	0.0625																																0.25			0.0625			0.375														
326		0.4375														0.3125						0.0625			0.1875																																																				
327	0.125	0.1875														0.5									0.0625																																		0.125																		
328	0.0625	0.3125														0.125						0.0625			0.0625																																		0.3125																		
329		0.3125									0.3125														0.0625																																		0.3125																		
330		0.5625																							0.1875																																		0.25																		
331	0.125	0.0625									0.5625					0.1875									0.0625																																																				
332	0.0625	0.3125																							0.0625																													0.375					0.0625																		
333	0.0625	0.125														0.625									0.125																												0.0625																								
334	0.0625	0.4375														0.5																																																													
335		0.125																							0.125																																																				
336	0.125	0.1875														0.625									0.0625																																																				
337		0.5																							0.125																																		0.375																		
338		0.0625	1.0																				0.125								0.125																													0.1875																	
339			0.25																																																																										0.0625
340																	0.3125								0.0625																												0.0625							0.25			0.3125														
341			0.125														0.5	0.0625							0.0625																																																				
342																									0.0625																			0.0625																		0.0625	0.8125														
343			0.3125														0.5625				0.0625																																					0.0625																			
344		0.0625	0.5														0.375								0.0625																																																				
345			0.3125							0.125															0.125																																						0.3125														
346			0.4375														0.5								0.0625																																																				
347		0.125	0.8125					0.0625										0.3125																																					0.0625					0.0625			0.0625														
348		0.0625																																																				0.0625									0.875														
349			0.4375																												0.0625																																0.5														
350				0.0625																			0.375	0.0625	0.125																																						0.3125														
351		0.0625	0.3125															0.0625							0.0625																																						0.5														
352			0.25														0.625								0.125																																																				
353			0.125							0.0625							0.25				0.0625		0.3125			0.125																																0.0625																			
354	0.0625										0.1875														0.0625																																		0.6875																		
355		0.5625																							0.1875																																		0.25																		
356			1.875					0.8125										0.1875						0.0625	0.0625				0.25																																																
357		0.0625				0.0625												0.4375							0.0625																																						0.375														
358																									0.125																				0.375						0.0625				0.125							0.0625	0.25														
359			1.25																						0.125	0.0625					0.0625																																														
360			0.4375																						0.125	0.3125																																		0.0625			0.5625														
361		0.0625	1.375						0.5																																																																		0.0625		
362		0.0625	1.0625					0.125										0.5							0.0625	0.0625																													0.0625					0.0625																	
363		0.125																																																													0.8125														
364		0.125	0.1875					0.375																																																							0.3125														
365		0.125						0.375										0.125					0.125																																								0.0625														
366																									0.125																																			0.625			0.625														
367	0.125	0.1875																																																									0.6875																		
368	0.0625	0.1875																							0.0625																																		0.6875																		
369		0.5625														0.25									0.1875																																																				
370																									0.0625																												0.0625										0.875														
371																	0.0625	0.4375							0.125				0.0625																								0.0625										1.25														
372			0.5														0.25								0.125				0.0625																								0.0625							0.125			0.875														
373			1.25																						0.125	0.125																																																			
374			1.3125	0.125														0.625						0.0625	0.0625	0.1875																																0.0625																			
375			1.25																						0.125	0.1875																																					1.4375														
376						0.5625																			0.0625			0.0625															0.0625												0.125								0.125														
377																									0.0625																												0.0625										0.875														
378			0.6875																						0.125	0.1875																																																			
379		0.0625	0.3125															0.9375																																													0.1875														
380								0.625										0.25							0.0625																													0.0625																							
381		0.0625															0.0625	0.6875							0.0625																																						0.125														
382		0.0625																0.0625							0.0625																																						1.3125														
383			0.4375														0.4375								0.125																																																				
384		0.0625	0.0625															0.6875																																										0.125			0.0625														
385			0.1875																						0.0625																																			0.625			0.0625														
386		0.0625	0.4375															0.6875																																													0.3125														
387		0.0625	0.375					0.0625									0.5																																																												
388		0.125	0.0625														0.375			1.6875																																											0.5														
389		0.125	0.4375					0.5										0.4375																																																											
390		0.125	0.0625														2.0	0.4375																																													0.375														
391	0.0625																																		0.0625															0.125																		0.25					0.75				
392	0.0625																																		0.0625															0.125				0.375					0.25									0.25	0.5				0.9375				
393			0.125					0.6875																	0.0625				0.0625																								0.0625																								
394		0.0625																0.0625																																					0.875																						
395																										0.8125					0.0625																								2.625								0.125														
396		0.0625						0.25									0.8125																																					0.0625	0.125								0.1875														
397		0.125	1.0625															0.625								0.0625																													0.0625								0.0625														
398																	0.5	0.125							0.125																																						0.25														
399		0.125	0.375															0.0625								0.0625							0.6875																											0.0625			0.125														
400			0.25	0.125													1.0								0.125																																																				
401			0.875														0.1875	0.3125						0.1875	0.0625	0.375																																																			
402			0.4375															0.3125							0.125																																						0.125														
403		0.125	0.5625															0.3125																																																											
404		0.0625	0.625														0.9375	0.5							0.0625																																			0.0625																	
405		0.125	0.4375					0.125									0.0625																																											0.25																	
406		0.0625	0.4375														0.375								0.0625	0.0625																																																			
407		0.125	0.375																																																				0.5																						
408			0.5						0.5																																																																				
409			0.375					0.125	0.5																																																																				
410			0.1875														0.0625																																						0.1875					0.5625																	
411										0.375							0.5							0.0625	0.0625																																																				
412		0.0625						0.0625																																														0.0625									1.3125														
413			0.375														0.25											0.0625																																0.125																	
414		0.0625	0.0625					0.0625										0.0625											0.0625																									0.0625						0.375			0.25														
415		0.0625																																																										0.125			0.8125														
416		0.0625	0.4375					0.0625																																														0.0625									0.375														
417														0.0625																		0.0625													0.0625										0.3125								0.4375														0.0625
418			0.25			0.0625								0.3125	0.0625																	0.0625																															0.125														0.0625
419										0.625	0.0625																																															0.0625		0.25																	
420			0.3125															0.3125								0.125																																					0.25														
421			0.25																																																				0.375					0.125			0.25														
422														0.0625											0.0625																				0.3125								0.0625																								
423											0.0625							0.375																																					0.75			0.0625					0.25														
424	0.125																																																										0.875																		
425	0.125	0.1875									0.0625					0.25																																											0.0625																		
426	0.0625																																																										0.9375																		
427	0.125										0.3125					0.0625																																											0.5																		
428	0.125	0.0625																																																				0.125					0.6875																		
429	0.125										0.1875																																																0.6875																		
430	0.0625	0.125														0.4375									0.0625																																		0.1875																		
431		0.0625	0.6875																																																									0.8125																	
432			0.0625					0.0625									0.75								0.125																																																				
433		0.125	0.0625										0.375				0.0625	0.125																													0.375	0.1875			0.0625									0.125																	
434																	0.625								0.125	0.25																																																			
435								0.125																	0.0625																													0.0625	0.25								0.5														
