id	segment_id	A1_duration	A1_offcount	A1_oncount	A2_duration	A2_offcount	A2_oncount	A3_duration	A3_offcount	A3_oncount	A4_duration	A4_offcount	A4_oncount	A5_duration	A5_offcount	A5_oncount	A6_duration	A6_offcount	A6_oncount	D1_duration	D1_offcount	D1_oncount	D3_duration	D3_offcount	D3_oncount	D4_duration	D4_offcount	D4_oncount	D5_duration	D5_offcount	D5_oncount	D7_duration	D7_offcount	D7_oncount	M2_duration	M2_offcount	M2_oncount	M3_duration	M3_offcount	M3_oncount	M6_duration	M6_offcount	M6_oncount	M7_duration	M7_offcount	M7_oncount	P4_duration	P4_offcount	P4_oncount	P5_duration	P5_offcount	P5_oncount	bass	intervals	m2_duration	m2_offcount	m2_oncount	m3_duration	m3_offcount	m3_oncount	m6_duration	m6_offcount	m6_oncount	m7_duration	m7_offcount	m7_oncount
2	31																																					1/8	1.0	0.0	1/8	0.0	1.0				1/8	1.0	0.0	3/8	0.5	0.5	D	('M3', 'M6', 'P4', 'P5', 'm7')										1/4	1.0	0.0
2	32																																		1/4	0.0	1.0	1/8	0.0	1.0							1/4	0.0	1.0	3/8	0.0	1.0	G	('M2', 'M3', 'P4', 'P5')												
2	33																																																				B	('m6',)							1	0.0	1.0			
2	34																																																				G	()												
2	35																																																				B	('m6',)							1	1.0	0.0			
2	36																																																				G	('m7',)										1	1.0	0.0
2	37																																														1	0.0	1.0				B	('P4',)												
2	38																																																	1	1.0	0.0	G	('P5',)												
2	39				1	0.0	1.0																																														C	('A2',)												
2	40													1	1.0	0.0																																					G	('A5',)												
2	41																																					1	0.0	1.0													C	('M3',)												
2	42																																																				G	()												
2	43																																																				E	('m3',)				1	0.0	1.0						
2	44																																																				G	()												
2	45																																																				B	('m6',)							1	0.0	1.0			
2	46																																																				G	()												
2	47																																																				B	('m6',)							1	1.0	0.0			
2	48																																																				G	('m7',)										1	1.0	0.0
2	49																																														1	0.0	1.0				B	('P4',)												
2	50																																																	1	1.0	0.0	G	('P5',)												
2	51																																														1	0.0	1.0				C	('P4',)												
2	52																																																				G	('m7',)										1	1.0	0.0
2	53																																					1	0.0	1.0													C	('M3',)												
2	54																																																				G	()												
2	55																																																				E	('m3',)				1	0.0	1.0						
2	56																																																				G	()												
2	57																																																				B	('m6',)							1	0.0	1.0			
2	58																																																				G	()												
2	59																																																				B	('m6',)							1	1.0	0.0			
2	60																																		1	1.0	0.0																G	('M2',)												
2	61																												1/2	1.0	0.0																						B	('D5', 'm6')							1/2	0.0	1.0			
2	62																																								1/2	1.0	0.0							1/2	1.0	0.0	G	('M6', 'P5')												
2	63				1	0.0	1.0																																														C	('A2',)												
2	64													1	1.0	0.0																																					G	('A5',)												
2	65																																					1	0.0	1.0													C	('M3',)												
2	66																																																				G	()												
2	67																																																				E	('m3',)				1	0.0	1.0						
2	68																																																				G	()												
2	69																																																				B	('m6',)							1	0.0	1.0			
2	70																																																				G	()												
2	71																																																				B	('m6',)							1	1.0	0.0			
2	72																																																	1	1.0	0.0	G	('P5',)												
2	73																																														1	0.0	1.0				B	('P4',)												
2	74																																																				G	('m7',)										1	1.0	0.0
2	75																																														1	0.0	1.0				C	('P4',)												
2	76																																																				G	('m7',)										1	1.0	0.0
2	77																																					1	0.0	1.0													C	('M3',)												
2	78																																																				G	()												
2	79																																					1	0.0	1.0													C	('M3',)												
2	80																																														1	1.0	0.0				G	('P4',)												
2	81																																					2/7	0.5	0.5										4/7	0.5	0.5	C	('M3', 'P5', 'm7')										1/7	1.0	0.0
2	82																																																				A	('m6',)							1	0.0	1.0			
2	83																																					1	1.0	0.0													F	('M3',)												
2	84																																																				E	('m3',)				1	0.0	1.0						
2	85																																																				G	()												
2	86																																					1	0.0	1.0													C	('M3',)												
2	87																																																				G	()												
2	88																																														1/2	0.0	1.0				E	('P4', 'm3')				1/2	1.0	0.0						
2	89																																											1	1.0	0.0							G	('M7',)												
2	90																																																				B	('m6',)							1	0.0	1.0			
2	91																																					1	1.0	0.0													G	('M3',)												
2	92																																																	1	0.0	1.0	G	('P5',)												
2	93																																																				G	()												
2	94																																		1/2	1.0	0.0	1/2	0.0	1.0													F	('M2', 'M3')												
2	95																																											1	1.0	0.0							G	('M7',)												
2	96																																																				E	('m3',)				1	0.0	1.0						
2	97																																														1	1.0	0.0				G	('P4',)												
2	98																																					1	0.0	1.0													C	('M3',)												
2	99																																								1	1.0	0.0										G	('M6',)												
2	100																																																				E	()												
2	101																																																				E	('m6',)							1	1.0	0.0			
2	102																																		1/7	1.0	0.0	2/7	0.0	1.0	4/7	0.0	1.0										F	('M2', 'M3', 'M6')												
2	103																																								1/2	0.0	1.0				1/2	0.0	1.0				G	('M6', 'P4')												
2	104																																					1/2	0.0	1.0										1/2	0.0	1.0	G	('M3', 'P5')												
2	105																																																				C	()												
2	106																																																				C	()												
3	0																																					1/3	0.5	0.5										2/3	0.5	0.5	C	('M3', 'P5')												
3	1																																					2/5	0.0	1.0										3/5	0.0	1.0	C	('M3', 'P5')												
3	2																																					1/3	0.5	0.5										2/3	0.5	0.5	C	('M3', 'P5')												
3	3																																					2/5	0.0	1.0										3/5	0.0	1.0	C	('M3', 'P5')												
3	4										1/2	0.5	0.5																						1/2	0.5	0.5																Bb	('A4', 'M2')												
3	5																																																				A	('m3', 'm6')				1/2	0.0	1.0	1/2	0.0	1.0			
3	6																																														1	1.0	0.0				C	('P4',)												
3	7																																								1/2	0.0	1.0				1/2	0.0	1.0				G	('M6', 'P4')												
3	8																																					1/2	1.0	0.0										1/2	1.0	0.0	C	('M3', 'P5')												
3	9																																					1/2	0.0	1.0										1/2	0.0	1.0	F	('M3', 'P5')												
3	10																																								1/2	1.0	0.0				1/2	1.0	0.0				C	('M6', 'P4')												
3	11																																					1/2	0.0	1.0										1/2	0.0	1.0	C	('M3', 'P5')												
3	12																																					1/2	1.0	0.0										1/2	1.0	0.0	C	('M3', 'P5')												
3	13																																																	1/2	0.5	0.5	G	('P5', 'm7')										1/2	0.5	0.5
3	14																																					1/4	0.0	1.0										1/2	0.0	1.0	G	('M3', 'P5', 'm7')										1/4	0.0	1.0
3	15																																																	1/2	0.5	0.5	G	('P5', 'm7')										1/2	0.5	0.5
3	16																																					1/4	0.0	1.0										1/2	0.0	1.0	G	('M3', 'P5', 'm7')										1/4	0.0	1.0
3	17										1/3	0.5	0.5																						1/3	0.5	0.5				1/3	0.5	0.5										F	('A4', 'M2', 'M6')												
3	18																																																				E	('m3', 'm6')				2/3	0.0	1.0	1/3	0.0	1.0			
3	19																																								1/2	0.0	1.0				1/2	0.0	1.0				G	('M6', 'P4')												
3	20																																					1/3	0.0	1.0										1/3	0.0	1.0	G	('M3', 'P5', 'm7')										1/3	0.0	1.0
3	21																																					1	0.0	1.0													C	('M3',)												
3	22																																					1	1.0	0.0													C	('M3',)												
3	23																																								1/4	0.5	0.5										A	('M6', 'm3')				3/4	0.5	0.5						
3	24																																								3/8	0.0	1.0										A	('M6', 'm3')				5/8	0.0	1.0						
3	25																																								1/4	0.5	0.5										A	('M6', 'm3')				3/4	0.5	0.5						
3	26																																								3/8	0.0	1.0										A	('M6', 'm3')				5/8	0.0	1.0						
3	27																												1/5	0.5	0.5																						B	('D5', 'm3', 'm6')				3/5	0.5	0.5	1/5	0.5	0.5			
3	28																												1/5	0.0	1.0																						B	('D5', 'm3', 'm6')				3/5	0.0	1.0	1/5	0.0	1.0			
3	29																																								1/3	0.0	1.0				1/3	0.0	1.0				D	('M6', 'P4', 'm3')				1/3	0.0	1.0						
3	30																												1/3	0.0	1.0																						B	('D5', 'm3', 'm6')				1/3	0.0	1.0	1/3	0.0	1.0			
3	31																																					1/3	0.0	1.0										1/3	0.0	1.0	G	('M3', 'P5', 'm7')										1/3	0.0	1.0
3	32																																					1/2	0.5	0.5										1/2	0.5	0.5	C	('M3', 'P5')												
3	33																																					1/2	0.0	1.0										1/2	0.0	1.0	C	('M3', 'P5')												
3	34																																																				E	('m3', 'm6')				1/2	1.0	0.0	1/2	0.0	1.0			
3	35																																					1/2	0.5	0.5										1/2	0.5	0.5	C	('M3', 'P5')												
3	36																																					1/2	0.0	1.0										1/2	0.0	1.0	C	('M3', 'P5')												
3	37																																																				E	('m3', 'm6')				1/2	1.0	0.0	1/2	0.0	1.0			
3	38																																																				E	('m3', 'm6')				1/3	0.5	0.5	2/3	0.5	0.5			
3	39																																					1/2	0.0	1.0										1/2	0.0	1.0	F	('M3', 'P5')												
3	40																																								1/2	0.0	1.0				1/2	0.0	1.0				G	('M6', 'P4')												
3	41																																					1/3	0.0	1.0										1/3	0.0	1.0	G	('M3', 'P5', 'm7')										1/3	0.0	1.0
3	42																																					1	0.0	1.0													C	('M3',)												
3	43																																					1	1.0	0.0													C	('M3',)												
4	0																																					1/2	0.0	1.0										1/2	0.0	1.0	G	('M3', 'P5')												
4	1																																					1/2	1.0	0.0										1/2	1.0	0.0	G	('M3', 'P5')												
4	2																																					1/2	0.0	1.0										1/2	0.0	1.0	G	('M3', 'P5')												
4	3																																		1/3	1.0	0.0	1/3	1.0	0.0										1/3	1.0	0.0	G	('M2', 'M3', 'P5')												
4	4																																					1/2	0.0	1.0										1/2	0.0	1.0	G	('M3', 'P5')												
4	5																																					1/3	1.0	0.0										1/3	1.0	0.0	G	('M3', 'P5', 'm7')										1/3	1.0	0.0
4	6																																								2/3	0.0	1.0				1/3	0.0	1.0				G	('M6', 'P4')												
4	7																																								2/3	1.0	0.0				1/3	1.0	0.0				G	('M6', 'P4')												
4	8																																								1/3	0.0	1.0				2/3	0.0	1.0				G	('M6', 'P4')												
4	9																																								1/3	1.0	0.0				2/3	1.0	0.0				G	('M6', 'P4')												
4	10																																								1/2	0.0	1.0				1/3	0.0	1.0	1/6	1.0	0.0	G	('M6', 'P4', 'P5')												
4	11																																								1/2	1.0	0.0				1/3	1.0	0.0				G	('M6', 'P4', 'm7')										1/6	1.0	0.0
4	12																																					1/2	0.0	1.0										1/2	0.0	1.0	G	('M3', 'P5')												
4	13																																					1/2	1.0	0.0										1/2	1.0	0.0	G	('M3', 'P5')												
4	14																																					1/2	0.0	1.0										1/2	0.0	1.0	G	('M3', 'P5')												
4	15																																		1/3	1.0	0.0	1/3	1.0	0.0										1/3	1.0	0.0	G	('M2', 'M3', 'P5')												
4	16																																					1/2	0.0	1.0										1/2	0.0	1.0	G	('M3', 'P5')												
4	17																																					1/3	1.0	0.0										1/3	1.0	0.0	G	('M3', 'P5', 'm7')										1/3	1.0	0.0
4	18																																					1	0.0	1.0													C	('M3',)												
4	19																																					1	1.0	0.0													C	('M3',)												
4	20																																					1	0.0	1.0													C	('M3',)												
4	21																																					1	1.0	0.0													C	('M3',)												
4	22																																		1/3	0.0	1.0	2/3	0.0	1.0													C	('M2', 'M3')												
4	23																																					2/3	1.0	0.0				1/3	1.0	0.0							C	('M3', 'M7')												
4	24																												1/3	0.0	1.0																						F#	('D5', 'm6')							2/3	0.0	1.0			
4	25																												1/3	1.0	0.0																						F#	('D5', 'm6')							2/3	1.0	0.0			
4	26																												1/3	0.0	1.0																						F#	('D5', 'm6')							2/3	0.5	0.5			
4	27																												1/3	1.0	0.0																						F#	('D5', 'm6')							2/3	1.0	0.0			
4	28																												1/3	0.0	1.0																						F#	('D5', 'm3', 'm6')				1/3	0.0	1.0	1/3	0.0	1.0			
4	29																												1/3	1.0	0.0																						F#	('D5', 'm6')							2/3	1.0	0.0			
4	30																																					2/3	0.0	1.0										1/3	0.0	1.0	G	('M3', 'P5')												
4	31																																					2/3	1.0	0.0										1/3	1.0	0.0	G	('M3', 'P5')												
4	32																																					1/2	0.0	1.0										1/2	0.0	1.0	G	('M3', 'P5')												
4	33																																					1/2	1.0	0.0										1/2	1.0	0.0	G	('M3', 'P5')												
4	34																																					2/5	0.0	1.0				1/5	1.0	0.0				2/5	0.0	1.0	G	('M3', 'M7', 'P5')												
4	35																																					2/5	1.0	0.0	1/5	1.0	0.0							2/5	1.0	0.0	G	('M3', 'M6', 'P5')												
4	36																												1/3	0.0	1.0																						F#	('D5', 'm6')							2/3	0.0	1.0			
4	37																												1/3	1.0	0.0																						F#	('D5', 'm6')							2/3	1.0	0.0			
4	38																												1/3	0.0	1.0																						F#	('D5', 'm6')							2/3	0.5	0.5			
4	39																												1/3	1.0	0.0																						F#	('D5', 'm6')							2/3	1.0	0.0			
4	40																												1/3	0.0	1.0																						F#	('D5', 'm3', 'm6')				1/3	0.0	1.0	1/3	0.0	1.0			
4	41																												1/3	1.0	0.0																						F#	('D5', 'm6')							2/3	1.0	0.0			
4	42																																					1/2	0.0	1.0										1/2	0.0	1.0	G	('M3', 'P5')												
4	43																																		1/2	1.0	0.0																G	('M2', 'm7')										1/2	1.0	0.0
4	44																																																				C#	('m3',)				1	0.0	1.0						
4	45																																																	1	1.0	0.0	A	('P5',)												
4	46																																																				C#	('m3',)				1	0.5	0.5						
4	47																																																	1	1.0	0.0	A	('P5',)												
4	48																									1/2	0.0	1.0																									C#	('D4', 'm3')				1/2	0.0	1.0						
4	49																																																				A	('m7',)										1	1.0	0.0
4	50																																																	1/2	0.0	1.0	D	('P5', 'm3')				1/2	0.0	1.0						
4	51																																																				A	()												
4	52																																																				D	('m3',)				1	0.0	1.0						
4	53																																																				A	('m6',)							1	1.0	0.0			
4	54																																																	1/4	1.0	0.0	D	('P5', 'm3')				3/4	0.0	1.0						
4	55																																																				A	('m6', 'm7')							1/2	1.0	0.0	1/2	1.0	0.0
4	56																																																				C#	('m3',)				1	0.0	1.0						
4	57																																																	1	1.0	0.0	A	('P5',)												
4	58																																																				C#	('m3',)				1	0.5	0.5						
4	59																																																	1	1.0	0.0	A	('P5',)												
4	60																									1/2	0.0	1.0																									C#	('D4', 'm3')				1/2	0.0	1.0						
4	61																																																				A	('m7',)										1	1.0	0.0
4	62																																																	1/2	0.0	1.0	D	('P5', 'm3')				1/2	0.0	1.0						
4	63																																																				A	()												
4	64																																																	1/2	1.0	0.0	D	('P5', 'm3')				1/2	0.0	1.0						
4	65																																																				A	()												
4	66																																														3/4	0.0	1.0	1/4	1.0	0.0	C	('P4', 'P5')												
4	67													1/2	1.0	0.0																									1/2	1.0	0.0										Ab	('A5', 'M6')												
4	68																												1/2	0.0	1.0																						B	('D5', 'm3')				1/2	0.0	1.0						
4	69																																																	1	1.0	0.0	G	('P5',)												
4	70																												1/2	0.0	1.0																						B	('D5', 'm3')				1/2	1.0	0.0						
4	71																																																	1	1.0	0.0	G	('P5',)												
4	72																												1/2	0.0	1.0																1/2	0.0	1.0				B	('D5', 'P4')												
4	73																																																				G	('m7',)										1	1.0	0.0
4	74																																					1/2	0.0	1.0										1/2	0.0	1.0	C	('M3', 'P5')												
4	75																																																				G	()												
4	76																																					1	0.0	1.0													C	('M3',)												
4	77																																																				G	()												
4	78																																					3/4	0.0	1.0										1/4	1.0	0.0	C	('M3', 'P5')												
4	79																																								1/2	1.0	0.0										G	('M6', 'm7')										1/2	1.0	0.0
4	80																												1/2	0.0	1.0																						B	('D5', 'm3')				1/2	0.0	1.0						
4	81																																																	1	1.0	0.0	G	('P5',)												
4	82																												1/2	0.0	1.0																						B	('D5', 'm3')				1/2	1.0	0.0						
4	83																																																	1	1.0	0.0	G	('P5',)												
4	84																												1/2	0.0	1.0																1/2	0.0	1.0				B	('D5', 'P4')												
4	85																																																	1	1.0	0.0	G	('P5',)												
4	86																																								1/3	1.0	0.0				2/3	0.0	1.0				G	('M6', 'P4')												
4	87																																					1	1.0	0.0													C	('M3',)												
4	88																																								1/3	1.0	0.0				2/3	1.0	0.0				G	('M6', 'P4')												
4	89																																					1	1.0	0.0													C	('M3',)												
4	90																																								2/3	0.5	0.5							1/3	1.0	0.0	G	('M6', 'P5')												
4	91																																					2/3	1.0	0.0							1/3	1.0	0.0				C	('M3', 'P4')												
4	92																																																	1	1.0	0.0	G	('P5',)												
4	93																																																				B	('m3', 'm6')				1/3	1.0	0.0	2/3	1.0	0.0			
4	94																																																	1	1.0	0.0	G	('P5',)												
4	95																																																				B	('m3', 'm7')				1/3	1.0	0.0				2/3	1.0	0.0
4	96																																																	1	1.0	0.0	G	('P5',)												
4	97																												2/3	1.0	0.0																						B	('D5', 'm3')				1/3	1.0	0.0						
4	98																																								1	0.5	0.5										G	('M6',)												
4	99																																					1	1.0	0.0													C	('M3',)												
4	100																																								1/3	1.0	0.0				2/3	0.0	1.0				G	('M6', 'P4')												
4	101																																					1	1.0	0.0													C	('M3',)												
4	102																																								2/3	0.5	0.5							1/3	1.0	0.0	G	('M6', 'P5')												
4	103																																					2/3	1.0	0.0							1/3	1.0	0.0				C	('M3', 'P4')												
4	104																																																				G	('m7',)										1	1.0	0.0
4	105																																														2/3	1.0	0.0				D	('P4', 'm3')				1/3	1.0	0.0						
4	106																																																				G	('m7',)										1	1.0	0.0
4	107																																																	2/3	1.0	0.0	D	('P5', 'm3')				1/3	1.0	0.0						
4	108																																																				G	('m7',)										1	1.0	0.0
4	109																																								2/3	1.0	0.0										D	('M6', 'm3')				1/3	1.0	0.0						
4	110																																					1	0.0	1.0													C	('M3',)												
4	111																																																				C	()												
5	0																																																				C	()												
5	1																																																				C	()												
5	2																																																				E	()												
5	3																																																				A	()												
5	4																																																				A	()												
5	5																																																				D	()												
5	6																																																				F	()												
5	7																																																				F	()												
5	8																																																				G	()												
5	9																																																				Ab	()												
5	10																																																				G	()												
5	11																																																				G	()												
5	12										1/2	1.0	0.0																									1/2	0.0	1.0													F	('A4', 'M3')												
5	13																																																				E	('m6',)							1	0.0	1.0			
5	14																																								1/2	1.0	0.0										E	('M6', 'm6')							1/2	1.0	0.0			
5	15																																					1/4	1.0	0.0													B	('M3', 'm3', 'm6')				1/4	0.0	1.0	1/2	0.0	1.0			
5	16																																					1/2	0.0	1.0										1/2	0.0	1.0	C	('M3', 'P5')												
5	17																																					1	1.0	0.0													C	('M3',)												
5	18										3/8	0.5	0.5																						1/2	0.0	1.0	1/8	1.0	0.0													C	('A4', 'M2', 'M3')												
5	19																																																				B	('m3', 'm6')				4/7	0.0	1.0	3/7	0.0	1.0			
5	20																																					4/7	0.0	1.0	3/7	0.0	1.0										C	('M3', 'M6')												
5	21																																					3/8	0.0	1.0										1/8	1.0	0.0	D	('M3', 'P5', 'm7')										1/2	0.0	1.0
5	22																																					1	0.0	1.0													G	('M3',)												
5	23																																					1	1.0	0.0													G	('M3',)												
5	24																																																				G	()												
5	25																																																				G	()												
5	26																																																				B	('m3', 'm6')				1/3	1.0	0.0	2/3	1.0	0.0			
5	27																																					1/2	0.0	1.0										1/2	0.0	1.0	C	('M3', 'P5')												
5	28																																																				E	('m6',)							1	1.0	0.0			
5	29																																		1/5	1.0	0.0	3/5	0.0	1.0							1/5	1.0	0.0				G	('M2', 'M3', 'P4')												
5	30																																					1/2	0.0	1.0										1/2	0.0	1.0	G	('M3', 'P5')												
5	31																																																				G	()												
5	32																																																				G	()												
5	33																																																				B	('m3', 'm6')				1/3	1.0	0.0	2/3	1.0	0.0			
5	34																																					1/2	0.0	1.0										1/2	0.0	1.0	C	('M3', 'P5')												
5	35																																																				E	('m6',)							1	1.0	0.0			
5	36																																								1/2	0.0	1.0				1/2	0.0	1.0				G	('M6', 'P4')												
5	37																																					1/2	0.0	1.0										1/2	0.0	1.0	G	('M3', 'P5')												
5	38																																																				C	()												
5	39																																																				C	()												
5	40																																																				E	()												
5	41																																																				A	()												
5	42																																																				A	()												
5	43																																																				D	()												
5	44																																																				F	()												
5	45																																																				G	()												
5	46										1/4	1.0	0.0																						1/2	1.0	0.0	1/4	1.0	0.0													F	('A4', 'M2', 'M3')												
5	47																																																				E	('m6',)							1	0.0	1.0			
5	48																																					1/3	0.0	1.0	1/6	0.0	1.0							1/6	1.0	0.0	G	('M3', 'M6', 'P5', 'm7')										1/3	0.0	1.0
5	49																																					1	0.0	1.0													C	('M3',)												
5	50																																																				C	()												
6	0																																																	1/2	0.0	1.0	D	('P5', 'm3')				1/2	0.0	1.0						
6	1																																					1/2	0.0	1.0										1/2	0.0	1.0	G	('M3', 'P5')												
6	2																																					1/2	1.0	0.0										1/2	1.0	0.0	G	('M3', 'P5')												
6	3																																					1/2	0.0	1.0										1/2	0.0	1.0	G	('M3', 'P5')												
6	4										1/2	1.0	0.0																												1/2	1.0	0.0										F	('A4', 'M6')												
6	5																																																				E	('m6',)							1	0.0	1.0			
6	6																																																				D	('m3',)				1	1.0	0.0						
6	7																																					1/2	0.0	1.0										1/2	0.0	1.0	C	('M3', 'P5')												
6	8																																					1/2	0.0	1.0										1/2	0.0	1.0	C	('M3', 'P5')												
6	9																												1/2	0.0	1.0																						F#	('D5', 'm3')				1/2	0.0	1.0						
6	10																																					1/2	0.0	1.0										1/2	0.0	1.0	G	('M3', 'P5')												
6	11																																					1/2	1.0	0.0										1/2	1.0	0.0	G	('M3', 'P5')												
6	12																																					1/2	0.0	1.0										1/2	0.0	1.0	G	('M3', 'P5')												
6	13										1/2	1.0	0.0																												1/2	1.0	0.0										F	('A4', 'M6')												
6	14																																																				E	('m6',)							1	0.0	1.0			
6	15																																																				D	('m3',)				1	1.0	0.0						
6	16																																					1/2	0.0	1.0										1/2	0.0	1.0	C	('M3', 'P5')												
6	17																																					1/2	0.0	1.0										1/2	0.0	1.0	C	('M3', 'P5')												
6	18																																																				E	('m3', 'm6')				1/2	1.0	0.0	1/2	1.0	0.0			
6	19																																					1/2	0.5	0.5										1/2	0.0	1.0	F	('M3', 'P5')												
6	20																																																				A	('m3',)				1	0.0	1.0						
